PESO REFERENCIA (g/ave),EDAD,SEXO,LINEA,CONSUMO DIARIO,"CONSUMO ACUMULADO 
REFERENCIA (g/ave)",CONVERSION ALIMENTICIA REFERENCIA,GANANCIA/ DIARIA DE REFERENCIA (g/día),PROMEDIO GAD SEMANA,VPI SEMANA,MORTALIDAD,EA,FEE,IP
1170,23,MIXTO,ROSS 308 AP,122,1434,1.226,82,NA,NA,0.021,95.4323001631321,NA,77.8403753369756
1255,24,MIXTO,ROSS 308 AP,128,1562,1.245,85,NA,NA,0.022,100.803212851406,NA,80.9664360252254
1342,25,MIXTO,ROSS 308 AP,134,1696,1.264,87,NA,NA,0.0225,106.170886075949,NA,83.9959541740106
1431,26,MIXTO,ROSS 308 AP,140,1836,1.283,89,NA,NA,0.023,111.53546375682,NA,86.9333310653312
1522,27,MIXTO,ROSS 308 AP,146,1982,1.302,91,NA,NA,0.0235,116.89708141321,NA,89.7827046184412
1615,28,MIXTO,ROSS 308 AP,152,2134,1.322,93,86.73,1.60377358490566,0.0245,122.163388804841,425.608520639723,92.4080096859615
1709,29,MIXTO,ROSS 308 AP,157,2291,1.341,94,NA,NA,0.025,127.442207307979,428.469490087171,95.03520306337
1805,30,MIXTO,ROSS 308 AP,163,2454,1.36,96,NA,NA,0.0255,132.720588235294,431.120710784314,97.5886678200692
1901,31,MIXTO,ROSS 308 AP,169,2623,1.379,97,NA,NA,0.0265,137.853517041334,432.904512386255,99.9662922707283
1999,32,MIXTO,ROSS 308 AP,174,2797,1.399,98,NA,NA,0.0265,142.88777698356,434.691409042173,102.135651882459
2098,33,MIXTO,ROSS 308 AP,179,2976,1.418,99,NA,NA,0.0275,147.954866008463,436.018506646151,104.340526099057
2198,34,MIXTO,ROSS 308 AP,184,3160,1.438,100,NA,NA,0.028,152.851182197497,436.974556164608,106.294285255561
2298,35,MIXTO,ROSS 308 AP,189,3349,1.457,100,97.68,1.42291021671827,0.029,157.721345229924,437.564074909305,108.250751702076
2399,36,MIXTO,ROSS 308 AP,194,3543,1.477,101,NA,NA,0.0295,162.423832092079,437.867580681562,109.968742107027
2500,37,MIXTO,ROSS 308 AP,198,3741,1.496,101,NA,NA,0.0305,167.112299465241,437.879390085272,111.706082530241
2602,38,MIXTO,ROSS 308 AP,203,3944,1.516,101,NA,NA,0.0315,171.635883905013,437.445667268435,113.216282259244
2703,39,MIXTO,ROSS 308 AP,207,4150,1.536,101,NA,NA,0.0325,175.9765625,436.557241586538,114.568074544271
2804,40,MIXTO,ROSS 308 AP,211,4361,1.555,101,NA,NA,0.0335,180.32154340836,435.70192926045,115.962407336566
2905,41,MIXTO,ROSS 308 AP,214,4575,1.575,101,NA,NA,0.0345,184.444444444444,434.344173441734,117.10758377425
3006,42,MIXTO,ROSS 308 AP,218,4793,1.595,101,101.08,1.30809399477807,0.0355,188.46394984326,432.793999104344,118.159216202671
3106,43,MIXTO,ROSS 308 AP,221,5014,1.614,100,NA,NA,0.036,192.441140024783,431.426183683467,119.232428763806
3206,44,MIXTO,ROSS 308 AP,224,5239,1.634,100,NA,NA,0.037,196.205630354957,429.422777345054,120.076885162153
3305,45,MIXTO,ROSS 308 AP,227,5466,1.654,99,NA,NA,0.038,199.818621523579,427.167808679296,120.809323774836
3404,46,MIXTO,ROSS 308 AP,230,5696,1.673,99,NA,NA,0.039,203.466826060968,425.068738792588,121.61794743632301
3502,47,MIXTO,ROSS 308 AP,232,5928,1.693,98,NA,NA,0.04,206.85174246899,422.505686745171,122.180592125806
3598,48,MIXTO,ROSS 308 AP,235,6163,1.713,97,NA,NA,0.041,210.040863981319,419.644142829344,122.615799171815
3694,49,MIXTO,ROSS 308 AP,237,6399,1.732,96,98.35,1.228875582169,0.042,213.279445727483,416.983079605976,123.140557579378
44,NA,HEMBRA,ROSS 308 AP,NA,NA,NA,NA,NA,4.79545454545455,NA,NA,NA,NA
62,1,HEMBRA,ROSS 308 AP,NA,14,0.221,18,NA,NA,0.0015,NA,NA,NA
81,2,HEMBRA,ROSS 308 AP,18,32,0.393,18,NA,NA,0.0025,20.6106870229008,NA,NA
102,3,HEMBRA,ROSS 308 AP,22,54,0.528,21,NA,NA,0.0035,19.3181818181818,NA,NA
125,4,HEMBRA,ROSS 308 AP,25,79,0.633,23,NA,NA,0.0045,19.7472353870458,NA,NA
151,5,HEMBRA,ROSS 308 AP,29,108,0.717,26,NA,NA,0.0055,21.0599721059972,NA,NA
180,6,HEMBRA,ROSS 308 AP,33,141,0.784,29,NA,NA,0.0065,22.9591836734694,NA,NA
211,7,HEMBRA,ROSS 308 AP,37,177,0.839,32,23.86,4.79545454545455,0.0075,25.1489868891538,NA,29.9749545758686
246,8,HEMBRA,ROSS 308 AP,41,218,0.884,35,NA,NA,0.0085,27.8280542986425,NA,31.4796994328535
285,9,HEMBRA,ROSS 308 AP,45,263,0.923,38,NA,NA,0.0095,30.8775731310943,NA,33.4534920163535
326,10,HEMBRA,ROSS 308 AP,49,311,0.956,41,NA,NA,0.0095,34.1004184100418,NA,35.6698937343534
370,11,HEMBRA,ROSS 308 AP,53,365,0.985,44,NA,NA,0.0105,37.5634517766497,NA,38.1354840372079
418,12,HEMBRA,ROSS 308 AP,58,423,1.011,48,NA,NA,0.0115,41.3452027695351,NA,40.8953538768893
469,13,HEMBRA,ROSS 308 AP,63,485,1.035,51,NA,NA,0.0125,45.3140096618358,NA,43.7816518471843
523,14,HEMBRA,ROSS 308 AP,68,553,1.058,54,44.44,2.47867298578199,0.0135,49.4328922495274,NA,46.7229605383057
580,15,HEMBRA,ROSS 308 AP,73,625,1.079,57,NA,NA,0.0135,53.7534754402224,NA,49.8178641707344
639,16,HEMBRA,ROSS 308 AP,78,703,1.1,60,NA,NA,0.0145,58.0909090909091,NA,52.8099173553719
702,17,HEMBRA,ROSS 308 AP,83,786,1.12,63,NA,NA,0.0155,62.6785714285714,NA,55.9630102040816
768,18,HEMBRA,ROSS 308 AP,89,875,1.139,66,NA,NA,0.0165,67.4275680421422,NA,59.1989183864286
836,19,HEMBRA,ROSS 308 AP,94,969,1.159,68,NA,NA,0.0175,72.1311475409836,NA,62.2356751863534
907,20,HEMBRA,ROSS 308 AP,100,1069,1.178,71,NA,NA,0.0185,76.9949066213922,NA,65.3607017159526
980,21,HEMBRA,ROSS 308 AP,105,1174,1.197,73,65.39,1.87380497131931,0.0195,81.8713450292398,NA,68.3971136418043
1056,22,HEMBRA,ROSS 308 AP,111,1285,1.217,76,NA,NA,0.0205,86.7707477403451,NA,71.2988888581307
1133,23,HEMBRA,ROSS 308 AP,116,1401,1.236,78,NA,NA,0.021,91.6666666666667,NA,74.1639697950377
1213,24,HEMBRA,ROSS 308 AP,122,1523,1.255,80,NA,NA,0.022,96.6533864541833,NA,77.0146505611022
1295,25,HEMBRA,ROSS 308 AP,128,1651,1.275,81,NA,NA,0.0225,101.56862745098,NA,79.6616685890042
1378,26,HEMBRA,ROSS 308 AP,133,1784,1.295,83,NA,NA,0.023,106.409266409266,NA,82.1693176905532
1462,27,HEMBRA,ROSS 308 AP,138,1922,1.314,85,NA,NA,0.0235,111.263318112633,NA,84.6752801466006
1548,28,HEMBRA,ROSS 308 AP,144,2066,1.334,86,81.16,1.57959183673469,0.0245,116.041979010495,404.281966159777,86.9879902627397
1636,29,HEMBRA,ROSS 308 AP,149,2215,1.354,87,NA,NA,0.025,120.82717872969,406.229307798095,89.2372073335966
1724,30,HEMBRA,ROSS 308 AP,154,2369,1.374,88,NA,NA,0.0255,125.4730713246,407.578360019408,91.3195570048033
1813,31,HEMBRA,ROSS 308 AP,159,2527,1.394,89,NA,NA,0.0265,130.057388809182,408.422154857222,93.2979833638323
1903,32,HEMBRA,ROSS 308 AP,164,2691,1.414,90,NA,NA,0.0265,134.582743988685,409.425941478076,95.1787439806822
1994,33,HEMBRA,ROSS 308 AP,168,2859,1.434,91,NA,NA,0.0275,139.05160390516,409.780863023541,96.9676456800282
2085,34,HEMBRA,ROSS 308 AP,173,3032,1.455,91,NA,NA,0.028,143.298969072165,409.666464523954,98.4872639671237
2176,35,HEMBRA,ROSS 308 AP,177,3209,1.475,91,89.66,1.40568475452196,0.029,147.525423728814,409.277675544794,100.017236426314
2268,36,HEMBRA,ROSS 308 AP,181,3391,1.495,92,NA,NA,0.0295,151.705685618729,408.973244147157,101.475374995805
2359,37,HEMBRA,ROSS 308 AP,185,3576,1.516,92,NA,NA,0.0305,155.606860158311,407.732029522927,102.643047597831
2451,38,HEMBRA,ROSS 308 AP,189,3765,1.536,92,NA,NA,0.0315,159.5703125,406.6943359375,103.886922200521
2542,39,HEMBRA,ROSS 308 AP,192,3957,1.557,91,NA,NA,0.0325,163.262684649968,405.01704461242,104.857215574803
2633,40,HEMBRA,ROSS 308 AP,196,4153,1.577,91,NA,NA,0.0335,166.962587190869,403.423351299937,105.873549264977
2724,41,HEMBRA,ROSS 308 AP,199,4352,1.598,91,NA,NA,0.0345,170.463078848561,401.419762508013,106.672765236897
2814,42,HEMBRA,ROSS 308 AP,202,4554,1.618,90,91.2,1.29319852941176,0.0355,173.918417799753,399.391223733004,107.489751421355
2904,43,HEMBRA,ROSS 308 AP,205,4759,1.639,90,NA,NA,0.036,177.181208053691,397.215545497112,108.103238592856
2993,44,HEMBRA,ROSS 308 AP,207,4967,1.659,89,NA,NA,0.037,180.409885473177,394.851635706066,108.746163636634
3082,45,HEMBRA,ROSS 308 AP,210,5176,1.68,88,NA,NA,0.038,183.452380952381,392.180423280423,109.197845804989
3169,46,HEMBRA,ROSS 308 AP,212,5389,1.7,88,NA,NA,0.039,186.411764705882,389.438491048593,109.653979238754
3256,47,HEMBRA,ROSS 308 AP,214,5603,1.721,87,NA,NA,0.04,189.192330040674,386.435397529887,109.931626984703
3342,48,HEMBRA,ROSS 308 AP,216,5819,1.741,86,NA,NA,0.041,191.958644457208,383.51737507179803,110.257693542337
3426,49,HEMBRA,ROSS 308 AP,218,6036,1.762,85,87.42,1.21748400852878,0.042,194.438138479001,380.146401352823,110.350816389898
45,NA,MACHO,ROSS 308 AP,NA,NA,NA,NA,NA,4.68888888888889,NA,NA,NA,NA
62,1,MACHO,ROSS 308 AP,NA,11,0.184,17,NA,NA,0.0015,NA,NA,NA
80,2,MACHO,ROSS 308 AP,15,27,0.335,18,NA,NA,0.0025,23.8805970149254,NA,NA
100,3,MACHO,ROSS 308 AP,19,46,0.459,20,NA,NA,0.0035,21.7864923747277,NA,NA
123,4,MACHO,ROSS 308 AP,23,69,0.562,23,NA,NA,0.0045,21.8861209964413,NA,NA
149,5,MACHO,ROSS 308 AP,27,97,0.647,26,NA,NA,0.0055,23.0293663060278,NA,NA
178,6,MACHO,ROSS 308 AP,32,128,0.719,29,NA,NA,0.0065,24.7566063977747,NA,NA
211,7,MACHO,ROSS 308 AP,36,164,0.779,32,23.73,4.68888888888889,0.0075,27.0860077021823,NA,34.7702281157667
246,8,MACHO,ROSS 308 AP,40,205,0.831,36,NA,NA,0.0085,29.6028880866426,NA,35.6232106939141
285,9,MACHO,ROSS 308 AP,45,250,0.875,39,NA,NA,0.0095,32.5714285714286,NA,37.2244897959184
328,10,MACHO,ROSS 308 AP,50,300,0.913,43,NA,NA,0.0095,35.9255202628697,NA,39.3488721389591
374,11,MACHO,ROSS 308 AP,55,355,0.948,46,NA,NA,0.0105,39.4514767932489,NA,41.6154818494187
424,12,MACHO,ROSS 308 AP,60,415,0.978,50,NA,NA,0.0115,43.3537832310838,NA,44.3290217086747
478,13,MACHO,ROSS 308 AP,66,481,1.006,54,NA,NA,0.0125,47.5149105367793,NA,47.2315214083293
535,14,MACHO,ROSS 308 AP,71,552,1.031,57,46.37,2.53554502369668,0.0135,51.8913676042677,NA,50.3311033989018
596,15,MACHO,ROSS 308 AP,77,629,1.055,61,NA,NA,0.0135,56.4928909952607,NA,53.5477639765504
661,16,MACHO,ROSS 308 AP,83,712,1.078,65,NA,NA,0.0145,61.317254174397,NA,56.8805697350622
729,17,MACHO,ROSS 308 AP,89,801,1.099,68,NA,NA,0.0155,66.3330300272975,NA,60.3576251385783
800,18,MACHO,ROSS 308 AP,95,896,1.12,72,NA,NA,0.0165,71.4285714285714,NA,63.7755102040816
875,19,MACHO,ROSS 308 AP,101,997,1.14,75,NA,NA,0.0175,76.7543859649123,NA,67.3284087411511
953,20,MACHO,ROSS 308 AP,108,1105,1.159,78,NA,NA,0.0185,82.2260569456428,NA,70.9456919289411
1035,21,MACHO,ROSS 308 AP,114,1219,1.178,81,71.36,1.93457943925234,0.0195,87.8607809847199,NA,74.5847037221731
1119,22,MACHO,ROSS 308 AP,121,1340,1.197,84,NA,NA,0.0205,93.483709273183,NA,78.0983369032439
1206,23,MACHO,ROSS 308 AP,127,1467,1.216,87,NA,NA,0.021,99.1776315789474,NA,81.5605522853186
1296,24,MACHO,ROSS 308 AP,134,1601,1.235,90,NA,NA,0.022,104.939271255061,NA,84.9710698421544
1389,25,MACHO,ROSS 308 AP,140,1741,1.253,93,NA,NA,0.0225,110.853950518755,NA,88.4708304219912
1484,26,MACHO,ROSS 308 AP,147,1888,1.272,95,NA,NA,0.023,116.666666666667,NA,91.7190775681342
1581,27,MACHO,ROSS 308 AP,153,2041,1.29,97,NA,NA,0.0235,122.558139534884,NA,95.0063097169641
1681,28,MACHO,ROSS 308 AP,159,2200,1.309,99,92.29,1.62415458937198,0.0245,128.418640183346,447.401369638765,98.1043851668037
1782,29,MACHO,ROSS 308 AP,166,2366,1.328,101,NA,NA,0.025,134.186746987952,451.145097631907,101.044237189723
1885,30,MACHO,ROSS 308 AP,172,2538,1.346,103,NA,NA,0.0255,140.044576523031,454.911466072313,104.045004846234
1990,31,MACHO,ROSS 308 AP,178,2715,1.365,105,NA,NA,0.0265,145.787545787546,457.81992201347,106.804062848019
2096,32,MACHO,ROSS 308 AP,184,2899,1.383,106,NA,NA,0.0265,151.554591467824,461.05748373102,109.583941769938
2203,33,MACHO,ROSS 308 AP,189,3089,1.402,107,NA,NA,0.0275,157.132667617689,463.065209873341,112.077508999778
2311,34,MACHO,ROSS 308 AP,195,3284,1.421,108,NA,NA,0.028,162.631949331457,464.93604338287,114.448943934875
2421,35,MACHO,ROSS 308 AP,200,3484,1.439,109,105.71,1.44021415823914,0.029,168.241834607366,466.750918296436,116.915798893236
2531,36,MACHO,ROSS 308 AP,206,3690,1.458,110,NA,NA,0.0295,173.593964334705,467.980395518976,119.063075675381
2641,37,MACHO,ROSS 308 AP,211,3901,1.477,111,NA,NA,0.0305,178.808395396073,468.526322531062,121.061879076556
2752,38,MACHO,ROSS 308 AP,216,4116,1.496,111,NA,NA,0.0315,183.957219251337,468.84886011821,122.966055649289
2863,39,MACHO,ROSS 308 AP,220,4336,1.514,111,NA,NA,0.0325,189.101717305152,469.117721776242,124.90205898623
2975,40,MACHO,ROSS 308 AP,225,4561,1.533,111,NA,NA,0.0335,194.063926940639,468.90696347032,126.590950385283
3086,41,MACHO,ROSS 308 AP,229,4790,1.552,111,NA,NA,0.0345,198.840206185567,468.244436761378,128.118689552556
3197,42,MACHO,ROSS 308 AP,233,5023,1.571,111,110.96,1.32052870714581,0.0355,203.500954805856,467.325406929163,129.535935586159
3308,43,MACHO,ROSS 308 AP,237,5260,1.59,111,NA,NA,0.036,208.050314465409,466.419774755009,130.84925438076
3419,44,MACHO,ROSS 308 AP,240,5500,1.609,111,NA,NA,0.037,212.492231199503,465.068224193457,132.064780111562
3529,45,MACHO,ROSS 308 AP,244,5743,1.627,110,NA,NA,0.038,216.902274124155,463.688861572082,133.314243469056
3639,46,MACHO,ROSS 308 AP,247,5990,1.646,109,NA,NA,0.039,221.081409477521,461.867901104126,134.314343546489
3747,47,MACHO,ROSS 308 AP,250,6239,1.665,109,NA,NA,0.04,225.045045045045,459.666474985624,135.162189216243
3855,48,MACHO,ROSS 308 AP,252,6492,1.684,108,NA,NA,0.041,228.919239904988,457.361564726841,135.937790917451
3962,49,MACHO,ROSS 308 AP,255,6746,1.703,107,109.28,1.23928683140444,0.042,232.648267762772,454.851103095378,136.610844252949
42,NA,MIXTO,COBB 500,NA,NA,NA,NA,NA,4.59523809523809,NA,NA,NA,NA
63,1,MIXTO,COBB 500,NA,NA,NA,NA,NA,NA,0.0015,NA,NA,NA
74,2,MIXTO,COBB 500,NA,NA,NA,NA,NA,NA,0.0025,NA,NA,NA
90,3,MIXTO,COBB 500,NA,NA,NA,NA,NA,NA,0.0035,NA,NA,NA
109,4,MIXTO,COBB 500,NA,NA,NA,NA,NA,NA,0.0045,NA,NA,NA
134,5,MIXTO,COBB 500,NA,NA,NA,NA,NA,NA,0.0055,NA,NA,NA
163,6,MIXTO,COBB 500,NA,NA,NA,NA,NA,NA,0.0065,NA,NA,NA
193,7,MIXTO,COBB 500,NA,145,0.76,30,28,4.59523809523809,0.0075,25.3947368421053,NA,33.4141274238227
228,8,MIXTO,COBB 500,37,182,0.8,36,NA,NA,0.0085,28.5,NA,35.625
269,9,MIXTO,COBB 500,43,225,0.84,41,NA,NA,0.0095,32.0238095238095,NA,38.1235827664399
313,10,MIXTO,COBB 500,50,275,0.88,44,NA,NA,0.0095,35.5681818181818,NA,40.4183884297521
362,11,MIXTO,COBB 500,57,331,0.92,48,NA,NA,0.0105,39.3478260869565,NA,42.7693761814745
414,12,MIXTO,COBB 500,64,395,0.95,52,NA,NA,0.0115,43.578947368421,NA,45.8725761772853
469,13,MIXTO,COBB 500,72,467,1,55,NA,NA,0.0125,46.9,NA,46.9
528,14,MIXTO,COBB 500,74,541,1.03,59,38,2.73575129533679,0.0135,51.2621359223301,NA,49.7690640022622
589,15,MIXTO,COBB 500,78,619,1.05,62,NA,NA,0.0135,56.0952380952381,NA,53.4240362811791
654,16,MIXTO,COBB 500,85,704,1.08,65,NA,NA,0.0145,60.5555555555556,NA,56.0699588477366
722,17,MIXTO,COBB 500,91,795,1.1,68,NA,NA,0.0155,65.6363636363636,NA,59.6694214876033
792,18,MIXTO,COBB 500,103,898,1.13,70,NA,NA,0.0165,70.0884955752212,NA,62.0252173232047
865,19,MIXTO,COBB 500,110,1007,1.16,73,NA,NA,0.0175,74.5689655172414,NA,64.2835909631391
841,20,MIXTO,COBB 500,114,1121,1.19,75,NA,NA,0.0185,70.672268907563,NA,59.3884612668597
1018,21,MIXTO,COBB 500,118,1239,1.22,78,48,1.9280303030303,0.0195,83.4426229508197,NA,68.3955925826391
1098,22,MIXTO,COBB 500,123,1362,1.24,80,NA,NA,0.0205,88.5483870967742,NA,71.4099895941727
1180,23,MIXTO,COBB 500,128,1489,1.26,82,NA,NA,0.021,93.6507936507936,NA,74.3260267069791
1264,24,MIXTO,COBB 500,133,1622,1.28,84,NA,NA,0.022,98.75,NA,77.1484375
1349,25,MIXTO,COBB 500,137,1759,1.3,85,NA,NA,0.0225,103.769230769231,NA,79.8224852071006
1436,26,MIXTO,COBB 500,144,1903,1.33,87,NA,NA,0.023,107.96992481203,NA,81.1803945955113
1525,27,MIXTO,COBB 500,150,2054,1.35,89,NA,NA,0.0235,112.962962962963,NA,83.676268861454
1615,28,MIXTO,COBB 500,156,2209,1.37,90,58,1.58644400785855,0.0245,117.883211678832,410.696689259645,86.0461399115563
1706,29,MIXTO,COBB 500,160,2369,1.39,91,NA,NA,0.025,122.73381294964,412.639543537584,88.2977071580146
1798,30,MIXTO,COBB 500,164,2533,1.41,92,NA,NA,0.0255,127.517730496454,414.220094562648,90.4381067350737
1892,31,MIXTO,COBB 500,167,2700,1.43,93,NA,NA,0.0265,132.307692307692,415.488833746898,92.522861753631
1986,32,MIXTO,COBB 500,170,2870,1.45,94,NA,NA,0.0265,136.965517241379,416.674784482759,94.4589774078478
2081,33,MIXTO,COBB 500,174,3043,1.46,95,NA,NA,0.0275,142.534246575342,420.044105437941,97.6261962844811
2177,34,MIXTO,COBB 500,177,3220,1.48,96,NA,NA,0.028,147.094594594595,420.517488076312,99.3882395909423
2273,35,MIXTO,COBB 500,179,3399,1.5,96,65,1.40743034055728,0.029,151.533333333333,420.396761904762,101.022222222222
2369,36,MIXTO,COBB 500,182,3581,1.51,97,NA,NA,0.0295,156.887417218543,422.942328918322,103.89895180036
2466,37,MIXTO,COBB 500,186,3767,1.53,97,NA,NA,0.0305,161.176470588235,422.325914149444,105.344098423683
2563,38,MIXTO,COBB 500,190,3958,1.54,97,NA,NA,0.0315,166.428571428571,424.173872180451,108.070500927644
2661,39,MIXTO,COBB 500,193,4151,1.56,97,NA,NA,0.0325,170.576923076923,423.161982248521,109.344181459566
2758,40,MIXTO,COBB 500,197,4348,1.58,97,NA,NA,0.0335,174.556962025316,421.773259493671,110.479089889441
2855,41,MIXTO,COBB 500,203,4552,1.59,97,NA,NA,0.0345,179.559748427673,422.841310016874,112.930659388474
2952,42,MIXTO,COBB 500,208,4760,1.61,97,70,1.29872415310163,0.0355,183.354037267081,421.059449866903,113.884495196945
3049,43,MIXTO,COBB 500,213,4973,1.63,97,NA,NA,0.036,187.055214723926,419.351690683407,114.757800444127
3145,44,MIXTO,COBB 500,218,5191,1.65,96,NA,NA,0.037,190.606060606061,417.167355371901,115.518824609734
3240,45,MIXTO,COBB 500,224,5414,1.67,95,NA,NA,0.038,194.011976047904,414.75449101796403,116.174835956829
3335,46,MIXTO,COBB 500,228,5642,1.69,95,NA,NA,0.039,197.337278106509,412.263313609467,116.767620181366
3430,47,MIXTO,COBB 500,231,5873,1.71,95,NA,NA,0.04,200.584795321637,409.705113848451,117.301049895694
3524,48,MIXTO,COBB 500,236,6109,1.73,94,NA,NA,0.041,203.699421965318,406.974470134875,117.745330615791
3617,49,MIXTO,COBB 500,241,6349,1.76,93,74,1.22527100271003,0.042,205.511363636364,401.795686456401,116.767820247934
42,NA,HEMBRA,COBB 500,NA,NA,NA,NA,NA,4.54761904761905,NA,NA,NA,NA
63,1,HEMBRA,COBB 500,NA,NA,NA,NA,NA,NA,0.0015,NA,NA,NA
74,2,HEMBRA,COBB 500,NA,NA,NA,NA,NA,NA,0.0025,NA,NA,NA
89,3,HEMBRA,COBB 500,NA,NA,NA,NA,NA,NA,0.0035,NA,NA,NA
108,4,HEMBRA,COBB 500,NA,NA,NA,NA,NA,NA,0.0045,NA,NA,NA
133,5,HEMBRA,COBB 500,NA,NA,NA,NA,NA,NA,0.0055,NA,NA,NA
162,6,HEMBRA,COBB 500,NA,NA,NA,NA,NA,NA,0.0065,NA,NA,NA
191,7,HEMBRA,COBB 500,NA,145,0.76,29,27,4.54761904761905,0.0075,25.1315789473684,NA,33.0678670360111
227,8,HEMBRA,COBB 500,36,181,0.8,36,NA,NA,0.0085,28.375,NA,35.46875
267,9,HEMBRA,COBB 500,43,224,0.84,40,NA,NA,0.0095,31.7857142857143,NA,37.8401360544218
310,10,HEMBRA,COBB 500,50,274,0.88,43,NA,NA,0.0095,35.2272727272727,NA,40.0309917355372
358,11,HEMBRA,COBB 500,56,330,0.92,48,NA,NA,0.0105,38.9130434782609,NA,42.296786389414
409,12,HEMBRA,COBB 500,63,393,0.96,51,NA,NA,0.0115,42.6041666666667,NA,44.3793402777778
464,13,HEMBRA,COBB 500,70,463,1,54,NA,NA,0.0125,46.4,NA,46.4
521,14,HEMBRA,COBB 500,72,535,1.03,58,37,2.72774869109948,0.0135,50.5825242718447,NA,49.1092468658686
582,15,HEMBRA,COBB 500,76,611,1.05,60,NA,NA,0.0135,55.4285714285714,NA,52.7891156462585
645,16,HEMBRA,COBB 500,83,694,1.08,63,NA,NA,0.0145,59.7222222222222,NA,55.298353909465
711,17,HEMBRA,COBB 500,89,783,1.1,66,NA,NA,0.0155,64.6363636363636,NA,58.7603305785124
779,18,HEMBRA,COBB 500,98,881,1.13,68,NA,NA,0.0165,68.9380530973451,NA,61.0071266348187
849,19,HEMBRA,COBB 500,107,988,1.16,70,NA,NA,0.0175,73.1896551724138,NA,63.0945303210464
921,20,HEMBRA,COBB 500,112,1100,1.19,72,NA,NA,0.0185,77.3949579831933,NA,65.0377798178095
995,21,HEMBRA,COBB 500,115,1215,1.22,74,47,1.90978886756238,0.0195,81.5573770491803,NA,66.8503090567052
1071,22,HEMBRA,COBB 500,120,1335,1.25,76,NA,NA,0.0205,85.68,NA,68.544
1148,23,HEMBRA,COBB 500,124,1459,1.27,77,NA,NA,0.021,90.3937007874016,NA,71.1761423522847
1227,24,HEMBRA,COBB 500,128,1587,1.29,79,NA,NA,0.022,95.1162790697674,NA,73.7335496664864
1307,25,HEMBRA,COBB 500,131,1718,1.31,80,NA,NA,0.0225,99.7709923664122,NA,76.1610628751238
1389,26,HEMBRA,COBB 500,137,1855,1.34,81,NA,NA,0.023,103.65671641791,NA,77.3557585208287
1471,27,HEMBRA,COBB 500,143,1998,1.36,82,NA,NA,0.0235,108.161764705882,NA,79.5307093425605
